Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
Ático en alquiler en Calle de Felipe IV,Jerónimos (Distrito Retiro. Madrid Capital),4.500,133,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '133 m²'), ('Superficie útil:', '130 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4400-23657')]",Alquiler
"Piso en alquiler en Calle de Bravo Murillo, cerca de Calle de Alvarado",Almenara (Distrito Tetuán. Madrid Capital),1.200,80,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '80 m²'), ('Superficie útil:', '80 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', '500564-35134')]",Alquiler
Piso en alquiler en Avenida de América,Prosperidad (Distrito Chamartín. Madrid Capital),2.500,95,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '95 m²'), ('Superficie útil:', '90 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'Reformado'), ('Gastos de comunidad:', 'Incluidos en el precio'), ('Referencia:', '500635-111246')]",Alquiler
Piso en alquiler en Calle de Velarde,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.050,55,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Superficie útil:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4528374-1')]",Alquiler
Piso en alquiler en Calle de Espronceda,Ríos Rosas (Distrito Chamberí. Madrid Capital),1.900,69,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '69 m²'), ('Superficie útil:', '55 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 60 y 80 €'), ('Referencia:', 'STA39-RP1132024129918')]",Alquiler
Piso en alquiler en Las Tablas,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1.250,93,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '93 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'AF105-1338/277')]",Alquiler
Piso en alquiler en Calle de Villanueva,Recoletos (Distrito Salamanca. Madrid Capital),5.000,200,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '200 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQSQMOBV8')]",Alquiler
"Piso en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.600,60,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Superficie útil:', '55 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQGVPADDD')]",Alquiler
Dúplex en alquiler en Majadahonda / Golf - El Carralero,Golf-El Carralero (Majadahonda),2.900,168,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '168 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'A estrenar'), ('Referencia:', 'SA4094-IDE1260924')]",Alquiler
"Piso en alquiler en Calle Teleferico de las Canteras, 2",El Cañaveral (Distrito Vicálvaro. Madrid Capital),1.290,108,Anuncio actualizado el 28/10/2024,Consumo:93 kWh/m² año,Emisiones:19 Kg CO₂/m² año,"[('Superficie construida:', '108 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Conservación:', 'A estrenar'), ('Referencia:', '4526851-21049622')]",Alquiler
"Piso en alquiler en Avenida Arribes del Duero, 14",Arroyos y Tempranales (San Sebastián de los Reyes),850,50,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528991-21490392')]",Alquiler
Chalet en alquiler en Núcleo Urbano,Núcleo Urbano (Villanueva de la Cañada),2.700,329,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '329 m²'), ('Superficie solar:', '367 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF7144-ALQIT')]",Alquiler
Chalet unifamiliar en alquiler en Castillo-Campodón,Castillo-Campodón (Villaviciosa de Odón),7.000,554,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '554 m²'), ('Superficie útil:', '500 m²'), ('Superficie solar:', '1.000 m²'), ('Habitaciones:', '4'), ('Baños:', '6'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4990706-chainvlj')]",Alquiler
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Plaza del Marqués de Salamanca",Castellana (Distrito Salamanca. Madrid Capital),2.355,60,Anuncio actualizado el 16/07/2024,Consumo:453 kWh/m² año,Emisiones:95 Kg CO₂/m² año,"[('Superficie construida:', '60 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '6ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-ZEILA')]",Alquiler
"Piso en alquiler en Calle de Fernán González, cerca de Calle del Doce de Octubre",Niño Jesús (Distrito Retiro. Madrid Capital),3.185,80,Anuncio actualizado el 19/08/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '80 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '7ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-TEATRO')]",Alquiler
Piso en alquiler en El Viso,El Viso (Distrito Chamartín. Madrid Capital),2.400,101,Anuncio actualizado el 08/10/2024,Consumo:225 kWh/m² año,Emisiones:47 Kg CO₂/m² año,"[('Superficie construida:', '101 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'A estrenar'), ('Referencia:', 'TC1157-592392')]",Alquiler
Ático en alquiler en Plaza de Manolete,Cuatro Caminos (Distrito Tetuán. Madrid Capital),1.750,70,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Superficie útil:', '65 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '15ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-3615-D')]",Alquiler
"Piso en alquiler en Avenida de América, cerca de Calle de Cartagena",Prosperidad (Distrito Chamartín. Madrid Capital),4.500,177,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '177 m²'), ('Superficie útil:', '165 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Planta:', '4ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-274-D')]",Alquiler
"Piso en alquiler en Calle de la Jacaranda, 10, cerca de Calle de Alpedrete",Atocha (Distrito Arganzuela. Madrid Capital),1.325,60,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528721-21340822')]",Alquiler
Piso en alquiler en Retiro,Ibiza (Distrito Retiro. Madrid Capital),5.000,156,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '156 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Exterior:', 'Exterior'), ('Referencia:', 'GM19-195107')]",Alquiler
Piso en alquiler en Salamanca,Justicia-Chueca (Distrito Centro. Madrid Capital),4.500,220,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '220 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Exterior:', 'Exterior'), ('Referencia:', 'GM19-196222')]",Alquiler
Ático en alquiler en Calle de Jerónimo de la Quintana,Trafalgar (Distrito Chamberí. Madrid Capital),3.535,90,Anuncio actualizado el 16/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '7ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5186-CASORIA')]",Alquiler
Piso en alquiler en Calle del Cerrillo,Bustarviejo,720,86,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '86 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'AF189-2216/55')]",Alquiler
Piso en alquiler en Calle Cava Baja,Palacio (Distrito Centro. Madrid Capital),1.500,37,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '37 m²'), ('Superficie útil:', '35 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'WTC45-28-85-3343')]",Alquiler
Dúplex en alquiler en Valleaguado-Cañada,Valleaguado-La Cañada (Coslada),1.300,74,Anuncio actualizado el 28/10/2024,Consumo:226 kWh/m² año,Emisiones:46 Kg CO₂/m² año,"[('Superficie construida:', '74 m²'), ('Superficie útil:', '68 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 60 y 80 €'), ('Referencia:', 'SA185-MA-515')]",Alquiler
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Calle Hermosilla",Goya (Distrito Salamanca. Madrid Capital),10.000,310,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '310 m²'), ('Superficie útil:', '300 m²'), ('Habitaciones:', '4'), ('Baños:', '5'), ('Planta:', '1ª'), ('Conservación:', 'Reformado'), ('Referencia:', 'SA88-alqsqayjpp')]",Alquiler
"Piso en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.600,60,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Superficie útil:', '55 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQNZPAD')]",Alquiler
Apartamento en alquiler en Calle del Río,Palacio (Distrito Centro. Madrid Capital),1.750,28,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '28 m²'), ('Superficie útil:', '25 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '996542-1298 AM')]",Alquiler
Piso en alquiler en Madrid,Castellana (Distrito Salamanca. Madrid Capital),6.000,264,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '264 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Planta:', '3ª'), ('Conservación:', 'Reformado'), ('Referencia:', 'SA88-ALQSQM3')]",Alquiler
"Apartamento en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.080,55,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Superficie útil:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA88-ALQGVPAAC')]",Alquiler
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),3.400,99,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '99 m²'), ('Superficie útil:', '89 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '996542-1536 AM')]",Alquiler
Piso en alquiler en Calle del Pintor Murillo,Carlos Ruiz (Collado Villalba),1.100,120,Anuncio actualizado el 28/10/2024,Consumo:226 kWh/m² año,Emisiones:47 Kg CO₂/m² año,"[('Superficie construida:', '120 m²'), ('Superficie útil:', '100 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4992271-1134')]",Alquiler
Piso en alquiler en Calle del Humilladero,Centro (Villaviciosa de Odón),1.650,123,Anuncio actualizado el 16/10/2024,Consumo:55 kWh/m² año,Emisiones:11 Kg CO₂/m² año,"[('Superficie construida:', '123 m²'), ('Superficie útil:', '103 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4998664-001357')]",Alquiler
"Piso en alquiler en Calle de Fuencarral, cerca de Calle de Manuela Malasaña",Universidad-Malasaña (Distrito Centro. Madrid Capital),1.500,75,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '75 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '4ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'SA768-01429/2151')]",Alquiler
Chalet pareado en alquiler en Avenida de la Concordia,Centro (Villaviciosa de Odón),2.400,269,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '269 m²'), ('Superficie útil:', '240 m²'), ('Superficie solar:', '288 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Conservación:', 'En buen estado'), ('Referencia:', '991623-29999VCA')]",Alquiler
"Piso en alquiler en Calle de Ayala, cerca de Paseo de la Castellana",Recoletos (Distrito Salamanca. Madrid Capital),4.500,240,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '240 m²'), ('Superficie útil:', '230 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Planta:', '4ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-5323-VC')]",Alquiler
"Piso en alquiler en Avenida Arribes del Duero, 14",Arroyos y Tempranales (San Sebastián de los Reyes),1.284,85,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528991-21490405')]",Alquiler
Piso en alquiler en Avenida de los Artesanos,Nuevo Tres Cantos (Tres Cantos),1.200,80,Anuncio actualizado el 22/10/2024,Consumo:165 kWh/m² año,Emisiones:35 Kg CO₂/m² año,"[('Superficie construida:', '80 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC1074-569959')]",Alquiler
Chalet unifamiliar en alquiler en Calle de Cortada,El Berrueco,1.800,225,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '225 m²'), ('Superficie útil:', '170 m²'), ('Superficie solar:', '500 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '515809-2325')]",Alquiler
Piso en alquiler en La Navata,La Navata (Galapagar),1.500,85,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF6229-AR-1588')]",Alquiler
Piso en alquiler en Calle del Peso Hispano,Pau de Carabanchel (Distrito Carabanchel. Madrid Capital),910,38,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '38 m²'), ('Superficie útil:', '32 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Referencia:', 'SA398-TRA2210/1865')]",Alquiler
"Piso en alquiler en Calle de Juan Bravo, cerca de Calle del Conde de Peñalver",Lista (Distrito Salamanca. Madrid Capital),5.200,275,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '275 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF6381-S bravo 5alq')]",Alquiler
"Piso en alquiler en Calle de Padilla, cerca de Calle de Montesa",Lista (Distrito Salamanca. Madrid Capital),1.350,47,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '47 m²'), ('Superficie útil:', '44 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'SA398-TRA2205/1865')]",Alquiler
"Piso en alquiler en Calle de Carlos Picabea, 7",Los Ángeles-Jarandilla (Torrelodones),1.500,90,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF6229-A-1769')]",Alquiler
"Piso en alquiler en Calle Ginos, Número 2",Puerto de Navacerrada (Cercedilla),600,66,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '66 m²'), ('Superficie útil:', '56 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '6ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4994129-Ginos_2')]",Alquiler
Piso en alquiler en Palacio,Palacio (Distrito Centro. Madrid Capital),4.500,150,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '150 m²'), ('Superficie útil:', '145 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '4ª'), ('Referencia:', 'SA768-01345/2151')]",Alquiler
Piso en alquiler en Calle de la Ruda,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.250,78,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '78 m²'), ('Superficie útil:', '71 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 20 y 40 €'), ('Referencia:', '4519303-000990')]",Alquiler
Piso en alquiler en Calle de José Calvo,Berruguete (Distrito Tetuán. Madrid Capital),1.150,90,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '90 m²'), ('Superficie útil:', '80 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4523130-000011')]",Alquiler
"Piso en alquiler en Paseo de la Castellana, cerca de Calle de Francisco Gervás",Almenara (Distrito Tetuán. Madrid Capital),1.750,80,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '80 m²'), ('Superficie útil:', '72 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 20 y 40 €'), ('Referencia:', '4519303-000907')]",Alquiler
Chalet adosado en alquiler en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),4.000,350,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '350 m²'), ('Superficie útil:', '340 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '1794-1101805')]",Alquiler
Ático en alquiler en Parla,La Ermita (Parla),1.200,160,Anuncio actualizado el 16/10/2024,N/A,N/A,"[('Superficie construida:', '160 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '5ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA84-5385AL')]",Alquiler
Ático en alquiler en Encinar de los Reyes,Encinar de los Reyes (La Moraleja),2.800,170,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '170 m²'), ('Superficie útil:', '150 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '1794-1101891')]",Alquiler
