Descripción,Localización,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Superficie Construida,Superficie Útil,Habitaciones,Baños,Antigüedad,Conservación,Planta,Tipo De Casa
Ático en alquiler en Calle de Felipe IV,Jerónimos (Distrito Retiro. Madrid Capital),4500.0,2024-10-22,,,Alquiler,133.0,130.0,3,2,Más de 50 años,Reformado,Bajo,Otro
"Piso en alquiler en Calle de Bravo Murillo, cerca de Calle de Alvarado",Almenara (Distrito Tetuán. Madrid Capital),1200.0,2024-10-23,,,Alquiler,80.0,80.0,1,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Avenida de América,Prosperidad (Distrito Chamartín. Madrid Capital),2500.0,2024-10-21,,,Alquiler,95.0,90.0,2,2,No especificado,Reformado,4ª,Piso
Piso en alquiler en Calle de Velarde,Universidad-Malasaña (Distrito Centro. Madrid Capital),1050.0,2024-10-17,,,Alquiler,55.0,50.0,1,1,Entre 30 y 50 años,En buen estado,3ª,Piso
Piso en alquiler en Calle de Espronceda,Ríos Rosas (Distrito Chamberí. Madrid Capital),1900.0,2024-10-25,,,Alquiler,69.0,55.0,3,2,Más de 50 años,En buen estado,No especificado,Piso
Piso en alquiler en Las Tablas,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1250.0,2024-10-28,,,Alquiler,93.0,No especificado,2,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle de Villanueva,Recoletos (Distrito Salamanca. Madrid Capital),5000.0,2024-10-28,,,Alquiler,200.0,No especificado,2,3,Más de 50 años,En buen estado,2ª,Piso
"Piso en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2600.0,2024-10-28,,,Alquiler,60.0,55.0,1,1,No especificado,En buen estado,5ª,Piso
Dúplex en alquiler en Majadahonda / Golf - El Carralero,Golf-El Carralero (Majadahonda),2900.0,2024-10-22,,,Alquiler,168.0,No especificado,4,3,Entre 20 y 30 años,A estrenar,3ª,Dúplex
"Piso en alquiler en Calle Teleferico de las Canteras, 2",El Cañaveral (Distrito Vicálvaro. Madrid Capital),1290.0,2024-10-28,Consumo:93 kWh/m² año,Emisiones:19 Kg CO₂/m² año,Alquiler,108.0,No especificado,3,2,No especificado,A estrenar,No especificado,Piso
"Piso en alquiler en Avenida Arribes del Duero, 14",Arroyos y Tempranales (San Sebastián de los Reyes),850.0,2024-10-21,,,Alquiler,50.0,No especificado,1,1,No especificado,A estrenar,1ª,Piso
Chalet en alquiler en Núcleo Urbano,Núcleo Urbano (Villanueva de la Cañada),2700.0,2024-10-28,,,Alquiler,329.0,No especificado,5,3,Entre 20 y 30 años,No especificado,No especificado,Chalet
Chalet unifamiliar en alquiler en Castillo-Campodón,Castillo-Campodón (Villaviciosa de Odón),7000.0,2024-10-21,,,Alquiler,554.0,500.0,4,6,Entre 10 y 20 años,En buen estado,No especificado,Chalet
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Plaza del Marqués de Salamanca",Castellana (Distrito Salamanca. Madrid Capital),2355.0,2024-07-16,Consumo:453 kWh/m² año,Emisiones:95 Kg CO₂/m² año,Alquiler,60.0,No especificado,2,2,No especificado,En buen estado,6ª,Piso
"Piso en alquiler en Calle de Fernán González, cerca de Calle del Doce de Octubre",Niño Jesús (Distrito Retiro. Madrid Capital),3185.0,2024-08-19,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,80.0,No especificado,3,2,No especificado,En buen estado,7ª,Piso
Piso en alquiler en El Viso,El Viso (Distrito Chamartín. Madrid Capital),2400.0,2024-10-08,Consumo:225 kWh/m² año,Emisiones:47 Kg CO₂/m² año,Alquiler,101.0,No especificado,2,2,Más de 50 años,A estrenar,No especificado,Piso
Ático en alquiler en Plaza de Manolete,Cuatro Caminos (Distrito Tetuán. Madrid Capital),1750.0,2024-10-28,,,Alquiler,70.0,65.0,1,1,Entre 20 y 30 años,Reformado,15ª,Otro
"Piso en alquiler en Avenida de América, cerca de Calle de Cartagena",Prosperidad (Distrito Chamartín. Madrid Capital),4500.0,2024-10-28,,,Alquiler,177.0,165.0,4,4,Entre 20 y 30 años,Reformado,4ª,Piso
"Piso en alquiler en Calle de la Jacaranda, 10, cerca de Calle de Alpedrete",Atocha (Distrito Arganzuela. Madrid Capital),1325.0,2024-10-28,,,Alquiler,60.0,No especificado,1,1,No especificado,A estrenar,No especificado,Piso
Piso en alquiler en Retiro,Ibiza (Distrito Retiro. Madrid Capital),5000.0,2024-10-28,,,Alquiler,156.0,No especificado,2,3,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Salamanca,Justicia-Chueca (Distrito Centro. Madrid Capital),4500.0,2024-10-28,,,Alquiler,220.0,No especificado,4,3,No especificado,No especificado,No especificado,Piso
Ático en alquiler en Calle de Jerónimo de la Quintana,Trafalgar (Distrito Chamberí. Madrid Capital),3535.0,2024-07-16,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,90.0,No especificado,3,2,No especificado,En buen estado,7ª,Otro
Piso en alquiler en Calle del Cerrillo,Bustarviejo,720.0,2024-10-28,,,Alquiler,86.0,No especificado,2,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle Cava Baja,Palacio (Distrito Centro. Madrid Capital),1500.0,2024-10-28,,,Alquiler,37.0,35.0,1,1,No especificado,En buen estado,2ª,Piso
Dúplex en alquiler en Valleaguado-Cañada,Valleaguado-La Cañada (Coslada),1300.0,2024-10-28,Consumo:226 kWh/m² año,Emisiones:46 Kg CO₂/m² año,Alquiler,74.0,68.0,2,2,Entre 10 y 20 años,En buen estado,2ª,Dúplex
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Calle Hermosilla",Goya (Distrito Salamanca. Madrid Capital),10000.0,2024-10-28,,,Alquiler,310.0,300.0,4,5,No especificado,Reformado,1ª,Piso
Apartamento en alquiler en Calle del Río,Palacio (Distrito Centro. Madrid Capital),1750.0,2024-10-28,,,Alquiler,28.0,25.0,1,1,Menos de 5 años,A estrenar,Bajo,Otro
Piso en alquiler en Madrid,Castellana (Distrito Salamanca. Madrid Capital),6000.0,2024-10-28,,,Alquiler,264.0,No especificado,4,4,No especificado,Reformado,3ª,Piso
"Apartamento en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2080.0,2024-10-28,,,Alquiler,55.0,50.0,1,1,No especificado,En buen estado,3ª,Otro
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),3400.0,2024-10-28,,,Alquiler,99.0,89.0,2,2,Menos de 5 años,A estrenar,2ª,Piso
Piso en alquiler en Calle del Pintor Murillo,Carlos Ruiz (Collado Villalba),1100.0,2024-10-28,Consumo:226 kWh/m² año,Emisiones:47 Kg CO₂/m² año,Alquiler,120.0,100.0,4,2,Entre 30 y 50 años,En buen estado,1ª,Piso
Piso en alquiler en Calle del Humilladero,Centro (Villaviciosa de Odón),1650.0,2024-10-16,Consumo:55 kWh/m² año,Emisiones:11 Kg CO₂/m² año,Alquiler,123.0,103.0,3,2,Menos de 5 años,En buen estado,2ª,Piso
"Piso en alquiler en Calle de Fuencarral, cerca de Calle de Manuela Malasaña",Universidad-Malasaña (Distrito Centro. Madrid Capital),1500.0,2024-10-28,,,Alquiler,75.0,No especificado,2,1,Entre 30 y 50 años,No especificado,4ª,Piso
Chalet pareado en alquiler en Avenida de la Concordia,Centro (Villaviciosa de Odón),2400.0,2024-10-25,,,Alquiler,269.0,240.0,5,3,No especificado,En buen estado,No especificado,Chalet
"Piso en alquiler en Calle de Ayala, cerca de Paseo de la Castellana",Recoletos (Distrito Salamanca. Madrid Capital),4500.0,2024-10-28,,,Alquiler,240.0,230.0,2,3,Entre 30 y 50 años,Reformado,4ª,Piso
"Piso en alquiler en Avenida Arribes del Duero, 14",Arroyos y Tempranales (San Sebastián de los Reyes),1284.0,2024-10-21,,,Alquiler,85.0,No especificado,3,2,No especificado,A estrenar,1ª,Piso
Piso en alquiler en Avenida de los Artesanos,Nuevo Tres Cantos (Tres Cantos),1200.0,2024-10-22,Consumo:165 kWh/m² año,Emisiones:35 Kg CO₂/m² año,Alquiler,80.0,No especificado,2,2,Entre 20 y 30 años,En buen estado,No especificado,Piso
Chalet unifamiliar en alquiler en Calle de Cortada,El Berrueco,1800.0,2024-10-28,,,Alquiler,225.0,170.0,3,3,Entre 10 y 20 años,En buen estado,No especificado,Chalet
Piso en alquiler en La Navata,La Navata (Galapagar),1500.0,2024-10-24,,,Alquiler,85.0,No especificado,2,2,Menos de 5 años,En buen estado,No especificado,Piso
Piso en alquiler en Calle del Peso Hispano,Pau de Carabanchel (Distrito Carabanchel. Madrid Capital),910.0,2024-10-28,,,Alquiler,38.0,32.0,1,1,Entre 10 y 20 años,No especificado,2ª,Piso
"Piso en alquiler en Calle de Juan Bravo, cerca de Calle del Conde de Peñalver",Lista (Distrito Salamanca. Madrid Capital),5200.0,2024-10-28,,,Alquiler,275.0,No especificado,5,4,No especificado,En buen estado,5ª,Piso
"Piso en alquiler en Calle de Padilla, cerca de Calle de Montesa",Lista (Distrito Salamanca. Madrid Capital),1350.0,2024-10-28,,,Alquiler,47.0,44.0,2,1,Más de 50 años,No especificado,3ª,Piso
"Piso en alquiler en Calle de Carlos Picabea, 7",Los Ángeles-Jarandilla (Torrelodones),1500.0,2024-10-28,,,Alquiler,90.0,No especificado,3,2,No especificado,En buen estado,No especificado,Piso
"Piso en alquiler en Calle Ginos, Número 2",Puerto de Navacerrada (Cercedilla),600.0,2024-10-21,,,Alquiler,66.0,56.0,1,1,Entre 30 y 50 años,En buen estado,6ª,Piso
Piso en alquiler en Palacio,Palacio (Distrito Centro. Madrid Capital),4500.0,2024-10-28,,,Alquiler,150.0,145.0,4,2,No especificado,No especificado,4ª,Piso
Piso en alquiler en Calle de la Ruda,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2250.0,2024-10-23,,,Alquiler,78.0,71.0,3,1,Más de 50 años,En buen estado,1ª,Piso
Piso en alquiler en Calle de José Calvo,Berruguete (Distrito Tetuán. Madrid Capital),1150.0,2024-10-24,,,Alquiler,90.0,80.0,3,1,Más de 50 años,En buen estado,2ª,Piso
"Piso en alquiler en Paseo de la Castellana, cerca de Calle de Francisco Gervás",Almenara (Distrito Tetuán. Madrid Capital),1750.0,2024-10-23,,,Alquiler,80.0,72.0,2,1,Más de 50 años,En buen estado,2ª,Piso
Chalet adosado en alquiler en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),4000.0,2024-10-28,,,Alquiler,350.0,340.0,5,5,Entre 20 y 30 años,En buen estado,No especificado,Chalet
Ático en alquiler en Parla,La Ermita (Parla),1200.0,2024-10-16,,,Alquiler,160.0,No especificado,3,2,Entre 10 y 20 años,En buen estado,5ª,Otro
Ático en alquiler en Encinar de los Reyes,Encinar de los Reyes (La Moraleja),2800.0,2024-10-28,,,Alquiler,170.0,150.0,3,3,Entre 20 y 30 años,En buen estado,3ª,Otro
Ático en alquiler en Calle del Trole,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),1800.0,2024-10-28,,,Alquiler,118.0,No especificado,3,2,No especificado,En buen estado,9ª,Otro
"Piso en alquiler en Calle de las Islas Caimán, 3",Garena (Distrito Chorrillo-Garena. Alcalá de Henares),870.0,2024-10-28,,,Alquiler,63.0,No especificado,1,1,Menos de 5 años,En buen estado,1ª,Piso
Piso en alquiler en Peñagrande,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),1200.0,2024-10-28,Consumo:393 kWh/m² año,Emisiones:93 Kg CO₂/m² año,Alquiler,46.0,No especificado,3,1,Más de 50 años,En buen estado,4ª,Piso
"Piso en alquiler en Calle de Padilla, cerca de Calle de Montesa",Lista (Distrito Salamanca. Madrid Capital),2250.0,2024-10-28,Consumo:300 kWh/m² año,Emisiones:63 Kg CO₂/m² año,Alquiler,114.0,No especificado,3,2,Más de 50 años,Reformado,7ª,Piso
"Piso en alquiler en Calle de Don Ramón de la Cruz, cerca de Calle de Montesa",Lista (Distrito Salamanca. Madrid Capital),2900.0,2024-10-28,Consumo:154 kWh/m² año,Emisiones:34 Kg CO₂/m² año,Alquiler,99.0,No especificado,2,2,Más de 50 años,Reformado,No especificado,Piso
Piso en alquiler en Calle del Castillo de Candanchú,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1375.0,2024-10-15,,,Alquiler,103.0,88.0,2,2,Entre 10 y 20 años,En buen estado,4ª,Piso
Piso en alquiler en Calle Alfonso VI,Estación (Valdemoro),1325.0,2024-10-09,Consumo:52 kWh/m² año,Emisiones:10 Kg CO₂/m² año,Alquiler,138.0,86.0,3,2,Menos de 5 años,En buen estado,2ª,Piso
Piso en alquiler en Suroeste,Oeste (Móstoles),995.0,2024-10-28,,,Alquiler,85.0,No especificado,3,2,No especificado,En buen estado,4ª,Piso
Estudio en alquiler en Pueblo Nuevo,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),750.0,2024-10-28,,,Alquiler,28.0,28.0,No especificado,1,No especificado,Reformado,4ª,Estudio
Apartamento en alquiler en Chamartin,Sol (Distrito Centro. Madrid Capital),1825.0,2024-10-28,,,Alquiler,25.0,No especificado,1,1,No especificado,A estrenar,1ª,Otro
Piso en alquiler en Calle Terradas,El Rosón-Kelvinator (Getafe),1350.0,2024-10-28,,,Alquiler,100.0,95.0,3,2,Entre 20 y 30 años,En buen estado,2ª,Piso
Piso en alquiler en Centro,Justicia-Chueca (Distrito Centro. Madrid Capital),1500.0,2024-10-25,,,Alquiler,75.0,No especificado,2,1,Entre 30 y 50 años,No especificado,4ª,Piso
Piso en alquiler en Arapiles,Arapiles (Distrito Chamberí. Madrid Capital),1500.0,2024-10-24,,,Alquiler,90.0,75.0,2,1,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Prosperidad,Prosperidad (Distrito Chamartín. Madrid Capital),1700.0,2024-10-24,,,Alquiler,98.0,No especificado,No especificado,2,Entre 30 y 50 años,Reformado,5ª,Piso
"Piso en alquiler en Calle de Letonia, 14",Nuevo Tres Cantos (Tres Cantos),1236.0,2024-10-21,Consumo:22.73 kWh/m² año,Emisiones:3.85 Kg CO₂/m² año,Alquiler,93.0,No especificado,3,2,No especificado,A estrenar,1ª,Piso
Piso en alquiler en Tetuan,Valdeacederas (Distrito Tetuán. Madrid Capital),1100.0,2024-10-28,,,Alquiler,54.0,No especificado,1,1,No especificado,En buen estado,3ª,Piso
"Ático en alquiler en Avenida de Joan Miró, 1",Zona Sureste (Torrejón de Ardoz),899.0,2024-10-28,,,Alquiler,58.0,No especificado,1,1,No especificado,En buen estado,5ª,Otro
Piso en alquiler en El Soto,El Soto de la Moraleja (La Moraleja),1900.0,2024-10-28,,,Alquiler,95.0,90.0,1,No especificado,No especificado,En buen estado,Bajo,Piso
Piso en alquiler en Arganzuela,Imperial (Distrito Arganzuela. Madrid Capital),1695.0,2024-10-28,,,Alquiler,90.0,No especificado,2,2,No especificado,A estrenar,3ª,Piso
Piso en alquiler en Distrito Salamanca,Recoletos (Distrito Salamanca. Madrid Capital),2995.0,2024-10-28,,,Alquiler,70.0,No especificado,2,1,No especificado,En buen estado,3ª,Piso
Chalet en alquiler en La Moraleja,Encinar de los Reyes (La Moraleja),8500.0,2024-10-28,,,Alquiler,350.0,No especificado,5,6,Más de 50 años,No especificado,No especificado,Chalet
Piso en alquiler en Hortaleza,Timón (Distrito Barajas. Madrid Capital),2100.0,2024-10-28,,,Alquiler,130.0,No especificado,3,2,No especificado,A estrenar,2ª,Piso
Chalet adosado en alquiler en Carretera del Plantío,Zona Carretera del Plantío (Majadahonda),3950.0,2024-10-28,,,Alquiler,307.0,No especificado,4,No especificado,Más de 50 años,No especificado,No especificado,Chalet
"Piso en alquiler en Calle de Letonia, 14",Nuevo Tres Cantos (Tres Cantos),950.0,2024-10-21,Consumo:22.73 kWh/m² año,Emisiones:3.85 Kg CO₂/m² año,Alquiler,72.0,No especificado,2,1,No especificado,A estrenar,1ª,Piso
Piso en alquiler en Calle de Martín de los Heros,Universidad-Malasaña (Distrito Centro. Madrid Capital),1100.0,2024-09-17,,,Alquiler,46.0,No especificado,1,1,Más de 50 años,En buen estado,1ª,Piso
"Piso en alquiler en Paseo de la Habana, cerca de Calle de Romero Girón",Hispanoamérica (Distrito Chamartín. Madrid Capital),3000.0,2024-10-25,,,Alquiler,159.0,No especificado,3,3,Más de 50 años,No especificado,5ª,Piso
Piso en alquiler en Calle del Conde Duque,Universidad-Malasaña (Distrito Centro. Madrid Capital),3500.0,2024-10-21,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,Alquiler,161.0,No especificado,4,3,No especificado,No especificado,3ª,Piso
Piso en alquiler en Calle de Almagro,Almagro (Distrito Chamberí. Madrid Capital),4200.0,2024-10-08,,,Alquiler,181.0,160.0,3,2,Más de 50 años,Reformado,1ª,Piso
"Estudio en alquiler en Calle de Narváez, 70, cerca de Calle de Ibiza",Ibiza (Distrito Retiro. Madrid Capital),950.0,2024-10-28,Consumo:140 kWh/m² año,Emisiones:24 Kg CO₂/m² año,Alquiler,40.0,40.0,No especificado,1,Entre 30 y 50 años,En buen estado,3ª,Estudio
Piso en alquiler en Calle del General Álvarez de Castro,Trafalgar (Distrito Chamberí. Madrid Capital),1850.0,2024-10-22,,,Alquiler,78.0,64.0,2,1,Más de 50 años,En buen estado,No especificado,Piso
Piso en alquiler en Calle de Cea Bermúdez,Vallehermoso (Distrito Chamberí. Madrid Capital),2400.0,2024-10-27,,,Alquiler,100.0,No especificado,3,2,No especificado,En buen estado,4ª,Piso
"Apartamento en alquiler en Avenida de Alberto Alcocer, 16",Hispanoamérica (Distrito Chamartín. Madrid Capital),2300.0,2023-02-24,,,Alquiler,95.0,No especificado,2,2,No especificado,No especificado,4ª,Otro
Piso en alquiler en Calle Cebreiro,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1680.0,2024-09-27,,,Alquiler,115.0,87.0,2,2,Entre 10 y 20 años,En buen estado,Bajo,Piso
Piso en alquiler en Calle de Luis Carreño,San Agustín del Guadalix,1100.0,2024-09-20,,,Alquiler,72.0,68.0,2,2,Entre 20 y 30 años,En buen estado,2ª,Piso
Piso en alquiler en Calle del Aviador Zorita,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2500.0,2024-10-03,,,Alquiler,174.0,165.0,4,2,Entre 30 y 50 años,Reformado,7ª,Piso
Piso en alquiler en Avenida de Mallorca,Pinar-Punta Galea (Las Rozas de Madrid),1300.0,2024-10-23,,,Alquiler,82.0,76.0,2,1,Entre 10 y 20 años,En buen estado,2ª,Piso
"Piso en alquiler en Calle de Juan de Urbieta, cerca de Calle de Viera y Clavijo",Niño Jesús (Distrito Retiro. Madrid Capital),4900.0,2024-09-16,,,Alquiler,245.0,180.0,4,3,Más de 50 años,En buen estado,3ª,Piso
"Chalet adosado en alquiler en Calle Reyes Católicos, 20",Sector B (Boadilla del Monte),3450.0,2024-10-17,,,Alquiler,370.0,340.0,4,4,Menos de 5 años,A estrenar,No especificado,Chalet
Piso en alquiler en Calle Jorge Juan,Goya (Distrito Salamanca. Madrid Capital),3500.0,2024-10-28,,,Alquiler,207.0,No especificado,5,3,Más de 50 años,En buen estado,3ª,Piso
"Piso en alquiler en Calle del Conde de Peñalver, cerca de Calle de Don Ramón de la Cruz",Goya (Distrito Salamanca. Madrid Capital),2695.0,2024-10-28,,,Alquiler,83.0,No especificado,2,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle del Poeta Esteban de Villegas,Jerónimos (Distrito Retiro. Madrid Capital),2150.0,2024-10-25,,,Alquiler,154.0,120.0,3,2,Entre 30 y 50 años,Reformado,4ª,Piso
Piso en alquiler en Calle de Mauricio Legendre,Castilla (Distrito Chamartín. Madrid Capital),1600.0,2024-10-23,Consumo:248 kWh/m² año,Emisiones:52 Kg CO₂/m² año,Alquiler,82.0,75.0,2,1,Más de 50 años,En buen estado,2ª,Piso
Piso en alquiler en Calle de Alcalá,Goya (Distrito Salamanca. Madrid Capital),2350.0,2024-10-28,,,Alquiler,112.0,108.0,2,2,Más de 50 años,En buen estado,6ª,Piso
Piso en alquiler en Calle de Ferrer del Río,Guindalera (Distrito Salamanca. Madrid Capital),3000.0,2024-10-26,,,Alquiler,141.0,117.0,4,3,Más de 50 años,En buen estado,5ª,Piso
Piso en alquiler en Calle de Salvador Almela Navarro,Centro-La Estación-Prado de La Laguna (San Lorenzo de El Escorial),1450.0,2024-10-27,Consumo:124 kWh/m² año,Emisiones:25 Kg CO₂/m² año,Alquiler,199.0,180.0,4,2,Entre 20 y 30 años,No especificado,1ª,Piso
Casa pareada en alquiler en Calle del Camino Nuevo,El Soto de la Moraleja (La Moraleja),3600.0,2024-10-24,,,Alquiler,160.0,No especificado,4,3,No especificado,Reformado,No especificado,Casa
"Piso en alquiler en Calle Mayor, cerca de Calle Postas",Sol (Distrito Centro. Madrid Capital),3600.0,2024-10-21,,,Alquiler,167.0,145.0,4,3,Más de 50 años,No especificado,4ª,Piso
Ático en alquiler en Calle de Colón,Universidad-Malasaña (Distrito Centro. Madrid Capital),2200.0,2024-09-20,Consumo:321 kWh/m² año,Emisiones:66 Kg CO₂/m² año,Alquiler,90.0,87.0,4,2,Más de 50 años,No especificado,4ª,Otro
"Apartamento en alquiler en Calle de Ríos Rosas, cerca de Calle de Ponzano",Ríos Rosas (Distrito Chamberí. Madrid Capital),2800.0,2024-10-28,,,Alquiler,143.0,121.0,4,2,Más de 50 años,En buen estado,6ª,Otro
"Piso en alquiler en Calle de Núñez de Balboa, 95, cerca de Calle de Diego de León",Castellana (Distrito Salamanca. Madrid Capital),1500.0,2024-10-23,,,Alquiler,70.0,65.0,2,1,No especificado,En buen estado,No especificado,Piso
Piso en alquiler en Casco Urbano,Centro (Villaviciosa de Odón),1100.0,2024-10-24,,,Alquiler,67.0,60.0,1,1,No especificado,Reformado,1ª,Piso
"Apartamento en alquiler en Calle de Alcántara, cerca de Calle de Francisco Silvela",Lista (Distrito Salamanca. Madrid Capital),1000.0,2024-10-27,Consumo:300 kWh/m² año,Emisiones:300 Kg CO₂/m² año,Alquiler,49.0,40.0,No especificado,1,Más de 50 años,Reformado,1ª,Otro
"Apartamento en alquiler en Calle del Olivar, 17, cerca de Calle de San Carlos",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1100.0,2024-10-21,Consumo:357 kWh/m² año,Emisiones:75 Kg CO₂/m² año,Alquiler,50.0,50.0,1,1,No especificado,Reformado,4ª,Otro
Piso en alquiler en Calle de Luisa Muriel,Cármenes (Distrito Latina. Madrid Capital),1400.0,2024-10-07,,,Alquiler,80.0,75.0,3,2,Entre 20 y 30 años,En buen estado,2ª,Piso
"Estudio en alquiler en Calle de Fernando 'El Católico', 30, cerca de Callejón de Blasco de Garay",Arapiles (Distrito Chamberí. Madrid Capital),1000.0,2024-10-26,,,Alquiler,32.0,30.0,No especificado,1,No especificado,En buen estado,No especificado,Estudio
Piso en alquiler en Calle de Alfonso XII,Jerónimos (Distrito Retiro. Madrid Capital),11000.0,2024-10-28,Consumo:104 kWh/m² año,Emisiones:53 Kg CO₂/m² año,Alquiler,390.0,No especificado,3,4,Más de 50 años,En buen estado,2ª,Piso
"Piso en alquiler en Calle de López de Hoyos, cerca de Calle del General Oráa",Castellana (Distrito Salamanca. Madrid Capital),1200.0,2024-10-03,,,Alquiler,45.0,40.0,1,1,Entre 30 y 50 años,En buen estado,No especificado,Piso
Piso en alquiler en Calle de Emilio Vargas,San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),2700.0,2024-10-25,,,Alquiler,174.0,150.0,5,3,No especificado,No especificado,No especificado,Piso
Apartamento en alquiler en Calle de Algete,Legazpi (Distrito Arganzuela. Madrid Capital),1061.0,2024-09-17,,,Alquiler,54.0,54.0,1,1,No especificado,En buen estado,4ª,Otro
Piso en alquiler en El Viso,Justicia-Chueca (Distrito Centro. Madrid Capital),8450.0,2024-10-23,,,Alquiler,576.0,No especificado,6,5,No especificado,No especificado,No especificado,Piso
